Year,White_Other,Hispanic,Black_Mix
1990,31032,4633,1481
1991,30728,4843,1454
1992,29550,4931,1424
1993,28693,5053,1449
1994,27775,5043,1428
1995,28474,5143,1469
1996,29063,5247,1479
1997,30224,5234,1353
1998,30738,5154,1311
1999,30776,5106,1277
2000,31712,5152,1298
2001,32038,5236,1335
2002,32830,5459,1372
2003,31498,5505,1400
2004,30313,5647,1405
2005,29477,5919,1482
2006,29123,6349,1565
2007,29061,6662,1736
2008,28820,6766,1803
2009,29247,7052,1869
2010,29084,7462,1874
2011,28852,7701,1884
2012,29651,8344,1960
2013,29359,8679,1941
2014,29030,8621,1872
2015,28935,8775,1909
