Year,White_Other,Hispanic,Black_Mix
1990,0.835,0.125,0.040
1991,0.830,0.131,0.039
1992,0.823,0.137,0.040
1993,0.815,0.144,0.041
1994,0.811,0.147,0.042
1995,0.812,0.147,0.042
1996,0.812,0.147,0.041
1997,0.821,0.142,0.037
1998,0.826,0.139,0.035
1999,0.828,0.137,0.034
2000,0.831,0.135,0.034
2001,0.830,0.136,0.035
2002,0.828,0.138,0.035
2003,0.820,0.143,0.036
2004,0.811,0.151,0.038
2005,0.799,0.161,0.040
2006,0.786,0.171,0.042
2007,0.776,0.178,0.046
2008,0.771,0.181,0.048
2009,0.766,0.185,0.049
2010,0.757,0.194,0.049
2011,0.751,0.200,0.049
2012,0.742,0.209,0.049
2013,0.734,0.217,0.049
2014,0.735,0.218,0.047
2015,0.730,0.221,0.048
