date,race,group,percent
19900101,white,ut,0.835
19910101,white,ut,0.830
19920101,white,ut,0.823
19930101,white,ut,0.815
19940101,white,ut,0.811
19950101,white,ut,0.812
19960101,white,ut,0.812
19970101,white,ut,0.821
19980101,white,ut,0.826
19990101,white,ut,0.828
20000101,white,ut,0.831
20010101,white,ut,0.830
20020101,white,ut,0.828
20030101,white,ut,0.820
20040101,white,ut,0.811
20050101,white,ut,0.799
20060101,white,ut,0.786
20070101,white,ut,0.776
20080101,white,ut,0.771
20090101,white,ut,0.766
20100101,white,ut,0.757
20110101,white,ut,0.751
20120101,white,ut,0.742
20130101,white,ut,0.734
20140101,white,ut,0.735
20150101,white,ut,0.730
19900101,white,tx,0.548
19910101,white,tx,0.548
19920101,white,tx,0.547
19930101,white,tx,0.547
19940101,white,tx,0.548
19950101,white,tx,0.552
19960101,white,tx,0.553
19970101,white,tx,0.555
19980101,white,tx,0.555
19990101,white,tx,0.556
20000101,white,tx,0.484
20010101,white,tx,0.485
20020101,white,tx,0.484
20030101,white,tx,0.481
20040101,white,tx,0.476
20050101,white,tx,0.468
20060101,white,tx,0.458
20070101,white,tx,0.450
20080101,white,tx,0.439
20090101,white,tx,0.428
20100101,white,tx,0.423
20110101,white,tx,0.417
20120101,white,tx,0.423
20130101,white,tx,0.406
20140101,white,tx,0.399
20150101,white,tx,0.394
19900101,black,ut,0.040
19910101,black,ut,0.039
19920101,black,ut,0.040
19930101,black,ut,0.041
19940101,black,ut,0.042
19950101,black,ut,0.042
19960101,black,ut,0.041
19970101,black,ut,0.037
19980101,black,ut,0.035
19990101,black,ut,0.034
20000101,black,ut,0.034
20010101,black,ut,0.035
20020101,black,ut,0.035
20030101,black,ut,0.036
20040101,black,ut,0.038
20050101,black,ut,0.040
20060101,black,ut,0.042
20070101,black,ut,0.046
20080101,black,ut,0.048
20090101,black,ut,0.049
20100101,black,ut,0.049
20110101,black,ut,0.049
20120101,black,ut,0.049
20130101,black,ut,0.049
20140101,black,ut,0.047
20150101,black,ut,0.048
19900101,black,tx,0.134
19910101,black,tx,0.133
19920101,black,tx,0.132
19930101,black,tx,0.131
19940101,black,tx,0.130
19950101,black,tx,0.131
19960101,black,tx,0.131
19970101,black,tx,0.132
19980101,black,tx,0.131
19990101,black,tx,0.129
20000101,black,tx,0.127
20010101,black,tx,0.127
20020101,black,tx,0.128
20030101,black,tx,0.128
20040101,black,tx,0.129
20050101,black,tx,0.130
20060101,black,tx,0.136
20070101,black,tx,0.137
20080101,black,tx,0.137
20090101,black,tx,0.137
20100101,black,tx,0.132
20110101,black,tx,0.131
20120101,black,tx,0.129
20130101,black,tx,0.127
20140101,black,tx,0.125
20150101,black,tx,0.123
19900101,hispanic,ut,0.125
19910101,hispanic,ut,0.131
19920101,hispanic,ut,0.137
19930101,hispanic,ut,0.144
19940101,hispanic,ut,0.147
19950101,hispanic,ut,0.147
19960101,hispanic,ut,0.147
19970101,hispanic,ut,0.142
19980101,hispanic,ut,0.139
19990101,hispanic,ut,0.137
20000101,hispanic,ut,0.135
20010101,hispanic,ut,0.136
20020101,hispanic,ut,0.138
20030101,hispanic,ut,0.143
20040101,hispanic,ut,0.151
20050101,hispanic,ut,0.161
20060101,hispanic,ut,0.171
20070101,hispanic,ut,0.178
20080101,hispanic,ut,0.181
20090101,hispanic,ut,0.185
20100101,hispanic,ut,0.194
20110101,hispanic,ut,0.200
20120101,hispanic,ut,0.209
20130101,hispanic,ut,0.217
20140101,hispanic,ut,0.218
20150101,hispanic,ut,0.221
19900101,hispanic,tx,0.318
19910101,hispanic,tx,0.319
19920101,hispanic,tx,0.321
19930101,hispanic,tx,0.323
19940101,hispanic,tx,0.322
19950101,hispanic,tx,0.318
19960101,hispanic,tx,0.315
19970101,hispanic,tx,0.314
19980101,hispanic,tx,0.314
19990101,hispanic,tx,0.315
20000101,hispanic,tx,0.389
20010101,hispanic,tx,0.388
20020101,hispanic,tx,0.389
20030101,hispanic,tx,0.391
20040101,hispanic,tx,0.395
20050101,hispanic,tx,0.401
20060101,hispanic,tx,0.406
20070101,hispanic,tx,0.413
20080101,hispanic,tx,0.423
20090101,hispanic,tx,0.435
20100101,hispanic,tx,0.445
20110101,hispanic,tx,0.453
20120101,hispanic,tx,0.447
20130101,hispanic,tx,0.467
20140101,hispanic,tx,0.476
20150101,hispanic,tx,0.483
