date,ut,tx
19900101,0.835,0.548
19910101,0.830,0.548
19920101,0.823,0.547
19930101,0.815,0.547
19940101,0.811,0.548
19950101,0.812,0.552
19960101,0.812,0.553
19970101,0.821,0.555
19980101,0.826,0.555
19990101,0.828,0.556
20000101,0.831,0.484
20010101,0.830,0.485
20020101,0.828,0.484
20030101,0.820,0.481
20040101,0.811,0.476
20050101,0.799,0.468
20060101,0.786,0.458
20070101,0.776,0.450
20080101,0.771,0.439
20090101,0.766,0.428
20100101,0.757,0.423
20110101,0.751,0.417
20120101,0.742,0.423
20130101,0.734,0.406
20140101,0.735,0.399
20150101,0.730,0.394
