High School Name,Metro_Area,HS City,enrolled2015PctSeniors,BlackHispMulti,WhiteOther,atRiskPct,ecoDisPct,collegeReadyBothPct,avgSAT,avgACT,Admitted2015,Enrolled2015,Color
Liberal Arts & Science Acad Hs,Austin-Round Rock,Austin,0.16017,0.268,0.733,0.041,0.119,0.99,1982,29.5,73,37,White
Westwood High School,Austin-Round Rock,Austin,0.13716,0.239,0.76,0.23,0.12,0.88,1821,27,124,86,White
Westlake High School,Austin-Round Rock,Austin,0.12333,0.201,0.8,0.173,0.028,0.92,1799,27.3,118,74,White
Highland Park High School,Dallas-Fort Worth-Arlington,Dallas,0.12271,0.064,0.936,0.093,0,0.94,1792,27.2,110,67,White
William P Clements High School,Houston-The Woodlands-Sugar Land,Sugar Land,0.10067,0.207,0.792,0.141,0.066,0.9,1769,26,110,60,White
Coppell High School,Dallas-Fort Worth-Arlington,Coppell,0.09524,0.208,0.793,0.197,0.097,0.85,1721,25.7,124,68,White
Memorial Senior High School,Houston-The Woodlands-Sugar Land,Houston,0.09228,0.22,0.781,0.164,0.1,0.8,1727,26.1,99,55,White
Stratford High School,Houston-The Woodlands-Sugar Land,Houston,0.09223,0.365,0.636,0.281,0.233,0.77,1637,25.1,63,38,White
Plano West Senior High School,Dallas-Fort Worth-Arlington,Plano,0.08748,0.261,0.738,0.115,0.135,0.77,1719,26,222,132,White
Carnegie Vanguard High School,Houston-The Woodlands-Sugar Land,Houston,0.08633,0.414,0.585,0.113,0.253,0.98,1895,28.5,25,12,White
Anderson (L C) High School,Austin-Round Rock,Austin,0.08584,0.408,0.592,0.319,0.268,0.79,1685,24.9,62,40,White
Vandegrift High School,Austin-Round Rock,Austin,0.08431,0.216,0.785,0.216,0.071,0.81,1693,25.3,55,36,White
Harmony Science Academy- North Austin,Austin-Round Rock,Pflugerville,0.08000,0.673,0.328,0.412,0.537,0.73,1546,24.9,9,8,Minority
Round Rock High School,Austin-Round Rock,Round Rock,0.07571,0.363,0.637,0.256,0.143,0.74,1605,23.6,54,48,White
International School Americas,San Antonio-New Braunfels,San Antonio,0.07563,0.605,0.394,0.188,0.203,0.86,1633,24.4,13,9,Minority
Seven Lakes High School,Houston-The Woodlands-Sugar Land,Katy,0.07157,0.312,0.688,0.173,0.059,0.81,1688,25.5,121,74,White
North Hills Preparatory,Dallas-Fort Worth-Arlington,Irving,0.07080,0.311,0.689,0.139,0.154,0.83,1713,25.8,16,8,White
